partition_kind,q,depth,exponent,layer_dependent,cell_index,bits,x_lo,x_hi,x_mid,plog_mid,c_shared,c_free,displacement,shared_err,free_err,wall_excess,best_donor_index,best_donor_excess,value_add
geometric_x,3,6,1/2,True,45,"(1, 0, 1, 1, 0, 1)",1.6280274218573478,1.645755478153965,1.6368914500056564,0.6368914500056563,-0.096923828125,-0.118316650390625,0.021392822265625,0.01973833351367057,0.00018406656245555797,0.019554266951215014,39,0.00012023268576527737,-0.019434034265449738
geometric_x,3,6,1/2,True,46,"(1, 0, 1, 1, 1, 0)",1.645755478153965,1.6636765803267364,1.6547160292403507,0.6547160292403507,-0.094482421875,-0.11784648895263672,0.02336406707763672,0.021707979077267955,0.0002511042190860204,0.021456874858181936,38,0.00015528910576366863,-0.021301585752418268
geometric_x,3,6,1/2,True,47,"(1, 0, 1, 1, 1, 1)",1.6636765803267364,1.681792830507429,1.6727347054170827,0.6727347054170828,-0.093994140625,-0.1172342300415039,0.023240089416503906,0.021776623058251943,0.00031947165008649705,0.021457151408165447,37,0.0001837664493010731,-0.021273384958864373
geometric_x,3,6,1/2,True,48,"(1, 1, 0, 0, 0, 0)",1.681792830507429,1.7001063537185235,1.6909495921129762,0.6909495921129762,-0.093505859375,-0.11647796630859375,0.02297210693359375,0.02171356501325751,0.0003886327430045626,0.021324932270252946,36,0.0002071390886244337,-0.021117793181628514
geometric_x,3,6,1/2,True,49,"(1, 1, 0, 0, 0, 1)",1.7001063537185235,1.718619298122478,1.7093628259205007,0.7093628259205007,-0.093505859375,-0.11557674407958984,0.022070884704589844,0.021063356024781685,0.00045899251053261637,0.020604363514249067,35,0.000221466541449735,-0.02038289697279933
geometric_x,3,6,1/2,True,50,"(1, 1, 0, 0, 1, 0)",1.718619298122478,1.7373338352737062,1.7279765666980922,0.7279765666980921,-0.095458984375,-0.1145315170288086,0.019072532653808594,0.01844786816442389,0.0005301417937787002,0.01791772637064519,34,0.0002262391953479423,-0.017691487175297248
geometric_x,3,6,1/2,True,51,"(1, 1, 0, 0, 1, 1)",1.7373338352737062,1.7562521603732995,1.7467929978235028,0.7467929978235028,-0.09765625,-0.11334037780761719,0.015684127807617188,0.01543201839200359,0.0006032250617243918,0.014828793330279198,33,0.0002184567173874124,-0.014610336612891786
geometric_x,3,6,1/2,True,52,"(1, 1, 0, 1, 0, 0)",1.7562521603732995,1.7753764925265212,1.7658143264499104,0.7658143264499103,-0.105224609375,-0.11200141906738281,0.0067768096923828125,0.007137534774049193,0.0006767281545345759,0.006460806619514617,32,0.00019863736506021382,-0.0062621692544544034
geometric_x,3,6,1/2,True,53,"(1, 1, 0, 1, 0, 1)",1.7753764925265212,1.7947090750031072,1.7850427837648142,0.7850427837648142,-0.104736328125,-0.11051559448242188,0.005779266357421875,0.00629268350769685,0.0007518935027039126,0.005540790004992938,31,0.00016359418028907477,-0.005377195824703863
geometric_x,3,6,1/2,True,54,"(1, 1, 0, 1, 1, 0)",1.7947090750031072,1.8142521755003989,1.804480625251753,0.804480625251753,-0.10498046875,-0.10888099670410156,0.0039005279541015625,0.004589949625282,0.0008282953266501451,0.003761654298631855,30,0.00011267619288420799,-0.003648978105747647
geometric_x,3,6,1/2,True,55,"(1, 1, 0, 1, 1, 1)",1.8142521755003989,1.8340080864093424,1.8241301309548705,0.8241301309548706,-0.10498046875,-0.10709667205810547,0.0021162033081054688,0.0029587105595414833,0.0009057246502790515,0.0020529859092624316,29,4.3129204210579693e-05,-0.002009856705051852
