source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,10,"(1, 0, 1, 0)",1.7692307692307692,1.8148148148148149,0.7692307692307693,0.8148148148148148,1.792022792022792,0.792022792022792,0.020651044713973853,0.0033703679965091517,-0.090087890625,-0.10985851287841797,endpoint,1.7692307692307692,0.7692307692307693,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,11,"(1, 0, 1, 1)",1.8148148148148149,1.8571428571428572,0.8148148148148148,0.8571428571428571,1.835978835978836,0.8359788359788359,0.02592832910352996,0.003711632035170984,-0.0810546875,-0.10589027404785156,endpoint,1.8148148148148149,0.8148148148148148,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,12,"(1, 1, 0, 0)",1.8571428571428572,1.896551724137931,0.8571428571428571,0.896551724137931,1.8768472906403941,0.8768472906403941,0.021271066126106335,0.004066990878361665,-0.08203125,-0.10162830352783203,endpoint,1.8571428571428572,0.8571428571428571,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,13,"(1, 1, 0, 1)",1.896551724137931,1.9333333333333333,0.896551724137931,0.9333333333333333,1.914942528735632,0.9149425287356322,0.005178938579908211,0.004538578695260417,-0.10009765625,-0.09718608856201172,endpoint,1.9333333333333333,0.9333333333333333,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,14,"(1, 1, 1, 0)",1.9333333333333333,1.967741935483871,0.9333333333333333,0.967741935483871,1.950537634408602,0.9505376344086022,0.02739381903728713,0.004908859213055429,-0.1171875,-0.09264469146728516,endpoint,1.967741935483871,0.967741935483871,2
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,15,"(1, 1, 1, 1)",1.967741935483871,2.0,0.967741935483871,1.0,1.9838709677419355,0.9838709677419355,0.03341366228075533,0.0050123859458392275,-0.1181640625,-0.08806705474853516,endpoint,2.0,1.0,2
partition_2026-03-18,uniform_x,1/2,3,4,True,0,"(0, 0, 0, 0)",1.0,1.0625,0.0,0.0625,1.03125,0.03125,0.024510243054245925,0.020618915647399445,-0.03369140625,-0.01439666748046875,endpoint,1.0,0.0,2
partition_2026-03-18,uniform_x,1/2,3,4,True,1,"(0, 0, 0, 1)",1.0625,1.125,0.0625,0.125,1.09375,0.09375,0.010516940594710462,0.017688364240332835,-0.0380859375,-0.040305137634277344,endpoint,1.125,0.125,2
partition_2026-03-18,uniform_x,1/2,3,4,True,2,"(0, 0, 1, 0)",1.125,1.1875,0.125,0.1875,1.15625,0.15625,0.011945889780246794,0.014842532763369547,-0.0556640625,-0.061507225036621094,endpoint,1.1875,0.1875,2
partition_2026-03-18,uniform_x,1/2,3,4,True,3,"(0, 0, 1, 1)",1.1875,1.25,0.1875,0.25,1.21875,0.21875,0.024376006385318772,0.012430116605071978,-0.0556640625,-0.07861614227294922,endpoint,1.25,0.25,2
partition_2026-03-18,uniform_x,1/2,3,4,True,4,"(0, 1, 0, 0)",1.25,1.3125,0.25,0.3125,1.28125,0.28125,0.016138172312043765,0.00988010558960442,-0.078369140625,-0.09213829040527344,endpoint,1.3125,0.3125,2
partition_2026-03-18,uniform_x,1/2,3,4,True,5,"(0, 1, 0, 1)",1.3125,1.375,0.3125,0.375,1.34375,0.34375,0.023928579301714183,0.007790406989670418,-0.078369140625,-0.10249614715576172,endpoint,1.375,0.375,2
partition_2026-03-18,uniform_x,1/2,3,4,True,6,"(0, 1, 1, 0)",1.375,1.4375,0.375,0.4375,1.40625,0.40625,0.02437064357107581,0.005732630291808426,-0.084716796875,-0.11004638671875,endpoint,1.4375,0.4375,2
partition_2026-03-18,uniform_x,1/2,3,4,True,7,"(0, 1, 1, 1)",1.4375,1.5,0.4375,0.5,1.46875,0.46875,0.02443662413251219,0.003807842995685075,-0.089111328125,-0.11509037017822266,endpoint,1.5,0.5,2
