case_id,kind,scramble_mode,depth,n_cells,corr_inf,corr_l2,nrmse_inf,nrmse_l2,residual_norm_inf,residual_norm_2,rho_peak,mean_width_eps,worst_abs,time
golden_x,golden_x,,5,32,0.8669664842972054,0.8640912666829849,0.4633438571382267,0.5033351595529509,0.05409812927246094,0.15176888622509477,0.10731083935931401,0.03166782029660259,0.005949346935213071,0.2105250358581543
golden_x,golden_x,,6,64,0.8758102445015095,0.8703921146985707,0.43926333417315355,0.49235918461073697,0.05677986145019531,0.22570861823544605,0.09834881793277485,0.01583987621128996,0.003615277790560565,0.43337178230285645
golden_x,golden_x,,7,128,0.876642525507721,0.8730260360366463,0.4356530254220666,0.4876736002718834,0.05774831771850586,0.3231693149596993,0.005070803081267538,0.007830768973368306,0.0020652663987576064,0.8288788795471191
golden_x,golden_x,,8,256,0.8758527985156827,0.8717251617812037,0.4342939936792032,0.489995145197922,0.05828428268432617,0.4571294409719357,0.01468026314393187,0.00391541635558839,0.0008893994175628297,1.6108739376068115
cantor_x,cantor_x,,5,32,0.8912672450985905,0.8950880255078594,0.4583252745266418,0.4458894780014905,0.04914426803588867,0.14919970419223771,0.32165700785179707,0.041787030828752944,0.013621584812575901,0.21654987335205078
cantor_x,cantor_x,,6,64,0.9020577875154632,0.90647561060645,0.4398766675838729,0.4222581762093707,0.04989147186279297,0.21350550117462233,0.23027775733863673,0.020997095943211082,0.013187561311808746,0.4026002883911133
cantor_x,cantor_x,,7,128,0.9076834838154664,0.9124813301388599,0.43002186777667195,0.4091183473617591,0.05026578903198242,0.30366431878362526,0.16403439426355576,0.010523218805651243,0.012967674109165855,0.8233749866485596
cantor_x,cantor_x,,8,256,0.9105535335800011,0.9155674396938208,0.4249227152914519,0.40216447303622016,0.05045318603515625,0.43064788248419067,0.1164521650675511,0.005267620377744539,0.012857164228680718,1.6742842197418213
farey_rank_x,farey_rank_x,,5,32,0.8555819023436352,0.8518406173768813,0.4767638281470436,0.5238010715786805,0.046712398529052734,0.12592812154661337,-0.10874735753797088,0.029652985704528397,0.015907959177531517,0.21032404899597168
farey_rank_x,farey_rank_x,,6,64,0.860009250112399,0.8559816518180752,0.46300110658867744,0.5170062008823488,0.049846649169921875,0.190745031820086,-0.08746272175776676,0.01493578633060476,0.011779036644349372,0.4045140743255615
farey_rank_x,farey_rank_x,,7,128,0.8637772323852991,0.8598433557186776,0.45675479777349715,0.5105579336632066,0.05231189727783203,0.28651308583945695,-0.05816846067854959,0.007572067274977932,0.008469934476017564,0.8007290363311768
farey_rank_x,farey_rank_x,,8,256,0.8681635343140859,0.8645921291222852,0.45169038366916375,0.5024743279609356,0.05415534973144531,0.41944738511606605,-0.024277371938941087,0.003841831162216102,0.005955997833126059,1.6182911396026611
radical_inverse_x,radical_inverse_x,,5,32,0.8734463527164639,0.8703188762290212,0.4497407298058501,0.4924886330459346,0.05434226989746094,0.1545905716811887,nan,0.03125,0.005419629112361626,0.188385009765625
radical_inverse_x,radical_inverse_x,,6,64,0.8742339684338252,0.8705771207243714,0.441801708156184,0.49203198765046074,0.056400299072265625,0.22323655179071528,nan,0.015625,0.0027633102183522995,0.39748406410217285
radical_inverse_x,radical_inverse_x,,7,128,0.8745888056752745,0.8706386447616912,0.4376627651257407,0.49192311416269685,0.05744600296020508,0.3191634526977838,nan,0.0078125,0.0013952675075604316,0.827293872833252
radical_inverse_x,radical_inverse_x,,8,256,0.8747566416628306,0.87065519713321,0.43556737285279745,0.4918938175103764,0.057973384857177734,0.4538774911712452,nan,0.00390625,0.0007011716473379614,1.6093170642852783
sturmian_x,sturmian_x,,5,32,0.8766232500155697,0.8739843369313184,0.4462647421220415,0.48595409124599753,0.055614471435546875,0.1587157228527788,0.06606160838284653,0.031702580252319555,0.0064034487692512035,0.19198203086853027
sturmian_x,sturmian_x,,6,64,0.877198546557052,0.8735244739453646,0.4387792107859547,0.4867802311294835,0.05707406997680664,0.2256477982221974,0.02123738660434744,0.015701818766470227,0.0033348958603307034,0.4053657054901123
sturmian_x,sturmian_x,,7,128,0.8760491728036114,0.8724327280820664,0.4359349870169128,0.4887342171070923,0.057732582092285156,0.3207281698660204,-0.0019804269609789062,0.007816889652589537,0.001700867788874327,0.8189311027526855
sturmian_x,sturmian_x,,8,256,0.875463902761068,0.8714879597456813,0.43487292514434206,0.49041690021685663,0.058147430419921875,0.4549537627815821,0.0005380431011991135,0.003908282855322284,0.0008607922795392225,1.6014411449432373
beta_x,beta_x,,5,32,0.27525151622752786,0.5536228347697525,0.9314691504188578,0.8327675286786244,0.030900955200195312,0.11982866582370205,0.11696662986621854,0.03318916213249793,0.04175387284799037,0.21144986152648926
beta_x,beta_x,,6,64,0.3109705687072502,0.6011190045716077,0.8745591979673109,0.7991595224627179,0.03306865692138672,0.17933476873563056,0.08543149633995822,0.01629400814170133,0.03856552266919258,0.43360090255737305
beta_x,beta_x,,7,128,0.3554952734211174,0.6297145686023997,0.8123569296210774,0.7768265971823402,0.0352931022644043,0.26911885532562824,0.06613253771710577,0.008053248975593945,0.0352769936446129,0.8162920475006104
beta_x,beta_x,,8,256,0.40766267144626966,0.6467815743193561,0.752181238044114,0.7626752881279002,0.03749799728393555,0.40337663901740367,0.052610850072797685,0.003997330771351642,0.03202163554410417,1.6333200931549072
arc_length_x,arc_length_x,,5,32,0.8627593618726054,0.8650073347839514,0.4817152338519287,0.5017592159292794,0.05324745178222656,0.1461158569785403,0.014661767580712543,0.03162966396111821,0.003973995105079779,0.3641788959503174
arc_length_x,arc_length_x,,6,64,0.8622894087316704,0.8650914775315743,0.4778574873277223,0.5016141300863025,0.05497932434082031,0.20926607057486346,0.01513096214226855,0.015815857603338746,0.002000512697957091,0.7426598072052002
arc_length_x,arc_length_x,,7,128,0.8619820901957691,0.8651163205549699,0.475889038448911,0.5015712829792301,0.05584001541137695,0.2978200802018216,0.015247974950903792,0.007908057147585502,0.0010036739113092868,1.492530107498169
arc_length_x,arc_length_x,,8,256,0.8618139495363976,0.8651218843772608,0.4748674473720882,0.5015616863074137,0.056269168853759766,0.4225220913698364,0.015277210337301865,0.003954044621505745,0.0005028703503390454,3.0259957313537598
minimax_chord_x,minimax_chord_x,,5,32,0.8324346615938452,0.8442751480995955,0.5416825238439755,0.5359099498063139,0.050086021423339844,0.13407641595581793,-0.1287837527123263,0.03143941257467,0.0035927192537222874,0.23536205291748047
minimax_chord_x,minimax_chord_x,,6,64,0.8306993826175785,0.8441413005892869,0.5395784566364705,0.5361207556506526,0.051700592041015625,0.19169093921921918,-0.12893816542102762,0.01571903553296774,0.0018646607360207623,0.4773590564727783
