source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,worst_cell_x_mid,worst_cell_plog_mid,n_cells,n_params,param_to_cell_ratio,gap_over_free,gap_over_opt,time
wall_surface_2026-03-18,geometric_x,1/2,3,6,True,0.04801885319811061,0.02191493285384739,0.0019372364815933578,0.02610392034426322,0.019977696372254033,41,"(1, 0, 1, 0, 0, 1)",1.559004400237837,1.5759808451078865,1.56749262267286,0.6484586530698513,64,37,0.578125,10.312471689477258,0.9116019887209804,25.76683497428894
wall_surface_2026-03-18,harmonic_x,1/2,3,6,True,0.04801885319811061,0.01940107115866117,0.002225137210319355,0.02861778203944944,0.017175933948341816,33,"(1, 0, 0, 0, 0, 1)",1.3473684210526315,1.3617021276595744,1.35453527435610,0.4377979642124874,64,37,0.578125,7.719044861002841,0.8853085382697546,25.440886974334717
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,6,True,0.04801885319811061,0.02819441875521427,0.005339397922687269,0.019824434442896343,0.022855020832527,24,"(0, 1, 1, 0, 0, 0)",1.5454545454545454,1.5617977528089888,1.55362614913177,0.6356393881208017,64,37,0.578125,4.280449062508584,0.8106221671372529,25.777190923690796
wall_surface_2026-03-18,uniform_x,1/2,3,7,False,0.04801885319811061,0.042737386383753295,0.0013952675075605118,0.005281466814357316,0.04134211887619278,1,"(0, 0, 0, 0, 0, 0, 1)",1.0078125,1.015625,1.01171875000000,0.01680828768655389,128,7,0.0546875,29.63024556378828,0.9673525307553452,52.78462195396423
wall_surface_2026-03-18,geometric_x,1/2,3,7,False,0.04801885319811061,0.04489501978344528,0.0009728009170741604,0.0031238334146653293,0.04392221886637112,0,"(0, 0, 0, 0, 0, 0, 0)",1.0,1.0054299011128027,1.00271495055640,0.0039115382868469715,128,7,0.0546875,45.1502646589536,0.9783316518899747,51.941917181015015
wall_surface_2026-03-18,harmonic_x,1/2,3,7,False,0.04801885319811061,0.046349166350692056,0.0011399378286217766,0.0016696868474185556,0.04520922852207028,0,"(0, 0, 0, 0, 0, 0, 0)",1.0,1.003921568627451,1.00196078431373,0.0028260440787633897,128,7,0.0546875,39.659380877578,0.9754054297331551,51.56630992889404
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,7,False,0.04801885319811061,0.03959807616868948,0.0027425439601261184,0.00842077702942113,0.036855532208563364,48,"(0, 1, 1, 0, 0, 0, 0)",1.5454545454545454,1.5536723163841808,1.54956343091936,0.6318618124264075,128,7,0.0546875,13.438447202453785,0.9307404746522845,51.64781904220581
wall_surface_2026-03-18,uniform_x,1/2,3,7,True,0.04801885319811061,0.02462952280937557,0.0013952675075605118,0.02338933038873504,0.023234255301815058,74,"(1, 0, 0, 1, 0, 1, 0)",1.578125,1.5859375,1.58203125000000,0.661778097771987,128,43,0.3359375,16.652186893134115,0.9433497953509118,51.399991035461426
wall_surface_2026-03-18,geometric_x,1/2,3,7,True,0.04801885319811061,0.021844448046094818,0.0009728009170741604,0.026174405152015794,0.02087164712902066,77,"(1, 0, 0, 1, 1, 0, 1)",1.5173590411982147,1.5255981507445384,1.52147859597138,0.6054740382868473,128,43,0.3359375,21.455209141655786,0.9554669033055257,51.229982137680054
wall_surface_2026-03-18,harmonic_x,1/2,3,7,True,0.04801885319811061,0.01922014925816906,0.0011399378286217766,0.02879870393994155,0.018080211429547285,96,"(1, 1, 0, 0, 0, 0, 0)",1.6,1.610062893081761,1.60503144654088,0.6826015635931517,128,43,0.3359375,15.860699571139659,0.9406904799067951,51.869673013687134
wall_surface_2026-03-18,mirror_harmonic_x,1/2,3,7,True,0.04801885319811061,0.028155103698797916,0.0027425439601261184,0.019863749499312695,0.0254125597386718,72,"(1, 0, 0, 1, 0, 0, 0)",1.72,1.7263681592039801,1.72318407960199,0.7850768260803206,128,43,0.3359375,9.266053747230794,0.902591587320518,52.54029703140259
wall_surface_2026-03-18,uniform_x,1/2,5,3,False,0.04801885319811061,0.019390541347960057,0.019266709931147465,0.028628311850150554,0.00012383141681259272,0,"(0, 0, 0)",1.0,1.125,1.06250000000000,0.0874628412503394,8,11,1.375,0.006427221734023257,0.006386176362508835,3.206912040710449
wall_surface_2026-03-18,geometric_x,1/2,5,3,False,0.04801885319811061,0.014811752836464818,0.014571397870416124,0.03320710036164579,0.00024035496604869408,0,"(0, 0, 0)",1.0,1.0905077326652577,1.04525386633263,0.06385337983609873,8,11,1.375,0.01649498340421269,0.016227314126992992,3.239413022994995
wall_surface_2026-03-18,harmonic_x,1/2,5,3,False,0.04801885319811061,0.012883146613235967,0.012535782363257702,0.035135706584874644,0.00034736424997826483,7,"(1, 1, 1)",1.7777777777777777,2.0,1.88888888888889,0.9175378398080271,8,11,1.375,0.027709818175879253,0.026962687020994358,3.1363327503204346
wall_surface_2026-03-18,mirror_harmonic_x,1/2,5,3,False,0.04801885319811061,0.030433602709489953,0.030246046571444075,0.017585250488620658,0.00018755613804587873,0,"(0, 0, 0)",1.0,1.2222222222222223,1.11111111111111,0.15200309344505006,8,11,1.375,0.006201013332531016,0.006162797741569849,3.2869107723236084
wall_surface_2026-03-18,uniform_x,1/2,5,3,True,0.04801885319811061,0.019453210385793538,0.019266709931147465,0.028565642812317073,0.00018650045464607343,2,"(0, 1, 0)",1.25,1.375,1.31250000000000,0.3923174227787603,8,31,3.875,0.009679932656512779,0.009587129884858112,3.29809832572937
wall_surface_2026-03-18,geometric_x,1/2,5,3,True,0.04801885319811061,0.014811752836464818,0.014571397870416124,0.03320710036164579,0.00024035496604869408,0,"(0, 0, 0)",1.0,1.0905077326652577,1.04525386633263,0.06385337983609873,8,31,3.875,0.01649498340421269,0.016227314126992992,3.2077667713165283
wall_surface_2026-03-18,harmonic_x,1/2,5,3,True,0.04801885319811061,0.012841835777493317,0.012535782363257702,0.035177017420617296,0.00030605341423561513,1,"(0, 0, 1)",1.0666666666666667,1.1428571428571428,1.10476190476190,0.14373547746144957,8,31,3.875,0.024414384788033313,0.02383252827232118,3.149639844894409
wall_surface_2026-03-18,mirror_harmonic_x,1/2,5,3,True,0.04801885319811061,0.030433602709489953,0.030246046571444075,0.017585250488620658,0.00018755613804587873,0,"(0, 0, 0)",1.0,1.2222222222222223,1.11111111111111,0.15200309344505006,8,31,3.875,0.006201013332531016,0.006162797741569849,3.3952889442443848
wall_surface_2026-03-18,uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,1.03125000000000,0.044394119358453436,16,11,0.6875,1.111213686001578,0.5263388037740996,6.930114030838013
wall_surface_2026-03-18,geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,1.38423455465499,0.4690884243086473,16,11,0.6875,2.054748765153547,0.6726408366516731,6.649211883544922
wall_surface_2026-03-18,harmonic_x,1/2,5,4,False,0.04801885319811061,0.02249468263029177,0.007685177394208464,0.025524170567818843,0.014809505236083305,15,"(1, 1, 1, 1)",1.8823529411764706,2.0,1.94117647058824,0.9569312781081141,16,11,0.6875,1.9270219119787295,0.6583558203279802,6.553487062454224
wall_surface_2026-03-18,mirror_harmonic_x,1/2,5,4,False,0.04801885319811061,0.022183459405970805,0.018302927470747927,0.025835393792139807,0.003880531935222878,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,1.05882352941176,0.08246216019197297,16,11,0.6875,0.21201700883232014,0.17492907053885431,6.399307012557983
wall_surface_2026-03-18,uniform_x,1/2,5,4,True,0.04801885319811061,0.012064651226631138,0.010422740025294662,0.03595420197147947,0.0016419112013364764,11,"(1, 0, 1, 1)",1.6875,1.75,1.71875000000000,0.7813597135246596,16,41,2.5625,0.1575316277055522,0.1360927200043854,6.1623358726501465
wall_surface_2026-03-18,geometric_x,1/2,5,4,True,0.04801885319811061,0.010250724537867028,0.007553957776491171,0.03776812866024358,0.002696766761375857,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,1.02213689121371,0.03158842430864739,16,41,2.5625,0.35700050770319647,0.26308059995308397,6.833194971084595
wall_surface_2026-03-18,harmonic_x,1/2,5,4,True,0.04801885319811061,0.010909944441184354,0.007685177394208464,0.037108908756926254,0.00322476704697589,7,"(0, 1, 1, 1)",1.28,1.3333333333333333,1.30666666666667,0.3858911536193273,16,41,2.5625,0.41960866764195565,0.2955805196223179,6.277774095535278
wall_surface_2026-03-18,mirror_harmonic_x,1/2,5,4,True,0.04801885319811061,0.018967941638976,0.018302927470747927,0.029050911559134612,0.0006650141682280723,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,1.05882352941176,0.08246216019197297,16,41,2.5625,0.036333759683575766,0.03505990164275799,6.414167165756226
wall_surface_2026-03-18,uniform_x,1/2,5,5,False,0.04801885319811061,0.024053055169944257,0.005419629112361607,0.023965798028166355,0.01863342605758265,19,"(1, 0, 0, 1, 1)",1.59375,1.625,1.60937500000000,0.6865005271832184,32,11,0.34375,3.4381367564584364,0.7746802194536284,12.840019941329956
wall_surface_2026-03-18,geometric_x,1/2,5,5,False,0.04801885319811061,0.029849564725641077,0.003842389163193495,0.018169288472469534,0.026007175562447582,31,"(1, 1, 1, 1, 1)",1.9571441241754002,2.0,1.97857206208770,0.9844596110388398,32,11,0.34375,6.768490763916386,0.8712748678746112,13.074888229370117
