kind,depth,cell_index,half,m_mid,width_x,width_log,c_star,g,eps_mid,eps_prime_mid,eps_pp_mid,mean_cell_eps,cell_moment1,cell_moment2,eps_a,eps_b,contains_mstar,dist_to_mstar
midpoint_dense_x,8,185,R,0.7380773984271514,0.004237645928736544,0.0024381238900964552,-0.11392593383789062,-0.011578559875488281,0.059414929893611745,-0.16994775825604191,-0.4775692052005866,0.0594145725594836,-2.54073035438462e-7,8.88248868921949e-8,0.0597739462323631,0.0590537695489416,0,0.295382357538188
midpoint_dense_x,8,186,R,0.7423174256294103,0.0042424084757812786,0.002434924032456709,-0.11365318298339844,-0.011305809020996094,0.05869006091529139,-0.1719677369536774,-0.47524765055207824,0.0586897045183476,-2.57671124159720e-7,8.79385334389620e-8,0.0590537695489416,0.0583242138997270,0,0.2996223847404469
midpoint_dense_x,8,187,R,0.746562229654534,0.004247199574466398,0.0024317494076676605,-0.113372802734375,-0.011025428771972656,0.0579558169228358,-0.17398016721435394,-0.47294039614553607,0.0579554614546955,-2.61275630427816e-7,8.70346158387915e-8,0.0583242138997270,0.0575852871363874,0,0.3038671887655706
midpoint_dense_x,8,188,R,0.750811835795608,0.004252012707681052,0.0024285961007574075,-0.11308574676513672,-0.010738372802734375,0.05721220619889722,-0.17598509937341678,-0.47064732130516607,0.0572118516520414,-2.64885898060789e-7,8.61127384664651e-8,0.0575852871363874,0.0568369979795913,0,0.30811679490664456
midpoint_dense_x,8,189,R,0.7550662625153852,0.00425684073187349,0.0024254598869887234,-0.1127920150756836,-0.01044464111328125,0.0564592379846478,-0.17798258008716272,-0.46836831034214665,0.0564588843528751,-2.68501145922108e-7,8.51724933686441e-8,0.0568369979795913,0.0560793561985515,0,0.31237122162642184
midpoint_dense_x,8,190,R,0.7593255207898806,0.004261675817117672,0.0024223362024905493,-0.11249065399169922,-0.010143280029296875,0.05569692266808124,-0.17997265210974722,-0.46610325275227454,0.0556965699465753,-2.72120455100990e-7,8.42134602424578e-8,0.0560793561985515,0.0553123728081328,0,0.3166304799009172
midpoint_dense_x,8,191,R,0.7635896133889846,0.0042665093810903,0.002419220111955833,-0.1121826171875,-0.009835243225097656,0.054925271990803326,-0.1819553540482569,-0.46385204343529546,0.0549249201763037,-2.75742754736195e-7,8.32352064702236e-8,0.0553123728081328,0.0545360602853801,0,0.3208945725000212
midpoint_dense_x,8,192,R,0.7678585340876696,0.004271332016279494,0.0024161062730810867,-0.11186790466308594,-0.009520530700683594,0.05414429927527675,-0.18393072009379507,-0.46161458293796676,0.0541439483657219,-2.79366806334223e-7,8.22372872207784e-8,0.0545360602853801,0.0537504328075353,0,0.3251634931987062
midpoint_dense_x,8,193,R,0.7721322668006465,0.004276133409674365,0.002412988897389279,-0.11154556274414062,-0.009198188781738281,0.053354019674700215,-0.18589877972621027,-0.45939077772312287,0.0533536696701466,-2.82991186416484e-7,8.12192456298007e-8,0.0537504328075353,0.0529555065138445,0,0.3294372259116831
midpoint_dense_x,8,194,R,0.7764107846325308,0.0042809022540941655,0.0024098617070341666,-0.11121654510498047,-0.008869171142578125,0.05255445044795659,-0.1878595573898184,-0.45718054046726664,0.0525541013499722,-2.86614267312690e-7,8.01806130734433e-8,0.0529555065138445,0.0521512997937169,0,0.3337157437435674
midpoint_dense_x,8,195,R,0.780694048834679,0.004285626150202004,0.002406717887129095,-0.11088085174560547,-0.008533477783203125,0.05174561126233912,-0.18981307213718646,-0.45498379038949205,0.0517452630746620,-2.90234195893535e-7,7.91209095513264e-8,0.0521512997937169,0.0513378336040946,0,0.3379990079457156
midpoint_dense_x,8,196,R,0.7849820076588561,0.004290291498152188,0.002403550033098445,-0.11053848266601562,-0.008191108703613281,0.05092752452707894,-0.19175933723770633,-0.4528004536148601,0.0509271772553876,-2.93848870017751e-7,7.80396441981377e-8,0.0513378336040946,0.0505151318192222,0,0.3422869667698927
midpoint_dense_x,8,197,R,0.7892745950967655,0.004294883377667036,0.0024003500924798526,-0.11018848419189453,-0.007841110229492188,0.05010021576104584,-0.19369835974732463,-0.45063046357569836,0.0500998694133933,-2.97455912436529e-7,7.69363159451089e-8,0.0505151318192222,0.0496832216163732,0,0.34657955420780207
midpoint_dense_x,8,198,R,0.7935717294932092,0.004299385415220236,0.0023971093005416,-0.1098318099975586,-0.00748443603515625,0.0492637139983928,-0.1956301400353747,-0.4484737614546967,0.0492633685853182,-3.01052641877017e-7,7.58104143569318e-8,0.0496832216163732,0.0488421339015132,0,0.3508766886042458
midpoint_dense_x,8,199,R,0.7978733120192225,0.004303779636806393,0.00239381810899586,-0.10946941375732422,-0.007122039794921875,0.04841805223635354,-0.1975546712639903,-0.44633029667411295,0.0484177077711308,-3.04636040988926e-7,7.46614206722674e-8,0.0488421339015132,0.0479919037793453,0,0.3551782711302591
midpoint_dense_x,8,200,R,0.8021792249899362,0.004308046304621005,0.002390466107004885,-0.1090993881225586,-0.00675201416015625,0.04756326792990506,-0.19947193881506442,-0.4442000274358983,0.0475629244287473,-3.08202720808562e-7,7.34888090814965e-8,0.0479919037793453,0.0471325710727133,0,0.3594841841009728
midpoint_dense_x,8,201,R,0.8064893300101175,0.004312163735741503,0.0023870419335746407,-0.10872268676757812,-0.006375312805175781,0.04669940353856683,-0.20138191965911956,-0.44208292131811694,0.0466990610207138,-3.11748881354406e-7,7.22920482794125e-8,0.0471325710727133,0.0462641808969340,0,0.3637942891211541
midpoint_dense_x,8,202,R,0.8108034659283243,0.004316108100671956,0.002383533180316366,-0.10833930969238281,-0.005991935729980469,0.045826507131243255,-0.203284581659803,-0.43997895593365993,0.0458261656196610,-3.15270267927515e-7,7.10706033366100e-8,0.0462641808969340,0.0453867842952987,0,0.3681084250393609
midpoint_dense_x,8,203,R,0.815121446578335,0.004319853199349577,0.0023799262834347523,-0.10794925689697266,-0.0056018829345703125,0.04494463305572538,-0.20517988280697597,-0.4378881196579604,0.0449442925769225,-3.18762122646851e-7,6.98239379398468e-8,0.0453867842952987,0.0445004389427417,0,0.3724264056893716
midpoint_dense_x,8,204,R,0.8194430582839596,0.0043233702118996575,0.0023762064036515484,-0.10755157470703125,-0.005204200744628906,0.044053842680273125,-0.20706777037052904,-0.43581041243320867,0.0440535032649804,-3.22219130698993e-7,6.85515170587010e-8,0.0445004389427417,0.0436052099255188,0,0.3767480173949962
midpoint_dense_x,8,205,R,0.8237680571004571,0.004326627421095575,0.0023723572926213077,-0.10714912414550781,-0.004801750183105469,0.04315420521560409,-0.20894817996612347,-0.43374584665746435,0.0431538668990104,-3.25635360732695e-7,6.72528101045533e-8,0.0436052099255188,0.0427011706057049,0,0.3810730162114937
midpoint_dense_x,8,206,R,0.8280961657625525,0.004329589903094844,0.0023683611442069097,-0.10673904418945312,-0.004391670227050781,0.04224579862662925,-0.21082103452299894,-0.4316944481680543,0.0422454614488814,-3.29004198773844e-7,6.59272946572609e-8,0.0427011706057049,0.0417884035803914,0,0.38540112487358913
midpoint_dense_x,8,207,R,0.8324270703053953,0.004332219182590746,0.0023641984287846585,-0.1063222885131836,-0.00397491455078125,0.04132871064443089,-0.2126862431428055,-0.42965625732978263,0.0413283746508713,-3.32318274978235e-7,6.45744608455823e-8,0.0417884035803914,0.0408670017466857,0,0.3897320294164319
midpoint_dense_x,8,208,R,0.8367604163207178,0.004334472848054771,0.002359847708527374,-0.10589981079101562,-0.0035524368286132812,0.04040303989026084,-0.21454369983708654,-0.4276313302397325,0.0404027051322343,-3.35569382486736e-7,6.31938164800049e-8,0.0408670017466857,0.0399370694849766,0,0.39406537543175446
midpoint_dense_x,8,209,R,0.841095804805839,0.004336304122187107,0.002355285431349108,-0.10547065734863281,-0.0031232833862304688,0.039468897124796176,-0.21639328212954712,-0.4256197400618658,0.0394685636599046,-3.38748387584885e-7,6.17848930495290e-8,0.0399370694849766,0.0389987239744748,0,0.3984007639168756
midpoint_dense_x,8,210,R,0.845432787557997,0.004337661382129099,0.002350485700929772,-0.10503482818603516,-0.0026874542236328125,0.038526406637521715,-0.21823484950755845,-0.4236215785062141,0.0385260745302878,-3.41845130322237e-7,6.03472527101895e-8,0.0389987239744748,0.0380520966567575,0,0.4027377466690336
midpoint_dense_x,8,211,R,0.8497708620607152,0.004338487623307019,0.002345420019918998,-0.10459327697753906,-0.0022459030151367188,0.0375757077929344,-0.22006824170549089,-0.42163695746922697,0.0375753771156159,-3.44848314694824e-7,5.88804964092254e-8,0.0380520966567575,0.0370973348649893,0,0.4070758211717518
